

SWITCH s1

 cookie=0x0, duration=91.651s, table=0, n_packets=18, n_bytes=1080, priority=65535,dl_dst=01:80:c2:00:00:0e,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x0, duration=82.638s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:65,dl_dst=00:00:00:00:00:01 actions=output:"s1-eth1"
 cookie=0x0, duration=81.815s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:66,dl_dst=00:00:00:00:00:02 actions=output:"s1-eth2"
 cookie=0x0, duration=80.983s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:67,dl_dst=00:00:00:00:00:03 actions=output:"s1-eth3"
 cookie=0x0, duration=80.158s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:68,dl_dst=00:00:00:00:00:04 actions=output:"s1-eth4"
 cookie=0x0, duration=79.324s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:69,dl_dst=00:00:00:00:00:05 actions=output:"s1-eth5"
 cookie=0x0, duration=78.491s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:6a,dl_dst=00:00:00:00:00:06 actions=output:"s1-eth6"
 cookie=0x0, duration=77.686s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:6b,dl_dst=00:00:00:00:00:07 actions=output:"s1-eth7"
 cookie=0x0, duration=77.507s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:65 actions=output:"s1-eth101"
 cookie=0x0, duration=76.853s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:6c,dl_dst=00:00:00:00:00:08 actions=output:"s1-eth8"
 cookie=0x0, duration=76.658s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:02,dl_dst=00:00:00:00:00:66 actions=output:"s1-eth101"
 cookie=0x0, duration=76.023s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:6d,dl_dst=00:00:00:00:00:09 actions=output:"s1-eth9"
 cookie=0x0, duration=75.804s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:67 actions=output:"s1-eth101"
 cookie=0x0, duration=75.198s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:6e,dl_dst=00:00:00:00:00:0a actions=output:"s1-eth10"
 cookie=0x0, duration=74.951s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:04,dl_dst=00:00:00:00:00:68 actions=output:"s1-eth101"
 cookie=0x0, duration=74.376s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:6f,dl_dst=00:00:00:00:00:0b actions=output:"s1-eth11"
 cookie=0x0, duration=74.095s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:69 actions=output:"s1-eth101"
 cookie=0x0, duration=73.543s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:70,dl_dst=00:00:00:00:00:0c actions=output:"s1-eth12"
 cookie=0x0, duration=73.243s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:6a actions=output:"s1-eth101"
 cookie=0x0, duration=72.720s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:71,dl_dst=00:00:00:00:00:0d actions=output:"s1-eth13"
 cookie=0x0, duration=72.602s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:6b actions=output:"s1-eth101"
 cookie=0x0, duration=71.887s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:72,dl_dst=00:00:00:00:00:0e actions=output:"s1-eth14"
 cookie=0x0, duration=71.751s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:08,dl_dst=00:00:00:00:00:6c actions=output:"s1-eth101"
 cookie=0x0, duration=71.062s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:73,dl_dst=00:00:00:00:00:0f actions=output:"s1-eth15"
 cookie=0x0, duration=70.897s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:6d actions=output:"s1-eth101"
 cookie=0x0, duration=70.237s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:74,dl_dst=00:00:00:00:00:10 actions=output:"s1-eth16"
 cookie=0x0, duration=70.044s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:6e actions=output:"s1-eth101"
 cookie=0x0, duration=69.408s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:75,dl_dst=00:00:00:00:00:11 actions=output:"s1-eth17"
 cookie=0x0, duration=69.191s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:0b,dl_dst=00:00:00:00:00:6f actions=output:"s1-eth101"
 cookie=0x0, duration=68.581s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:76,dl_dst=00:00:00:00:00:12 actions=output:"s1-eth18"
 cookie=0x0, duration=68.337s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:0c,dl_dst=00:00:00:00:00:70 actions=output:"s1-eth101"
 cookie=0x0, duration=67.756s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:77,dl_dst=00:00:00:00:00:13 actions=output:"s1-eth19"
 cookie=0x0, duration=67.481s, table=0, n_packets=0, n_bytes=0, priority=10,arp,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:71 actions=output:"s1-eth101"
 cookie=0x0, duration=66.928s, table=0, n_packets=2, n_bytes=84, priority=10,arp,dl_src=00:00:00:00:00:78,dl_dst=00:00:00:00:00:14 actions=output:"s1-eth20"
